,Unnamed: 0,Track name,Genre,Source,License,Dataset,Duration
0,0,A Classic Education - NightOwl,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,171.2
1,1,Actions - Devil's Words,Pop/Rock,DSD,Restricted,train,196.6
2,2,Actions - One Minute Smile,Pop/Rock,DSD,Restricted,train,163.3
3,3,Actions - South Of The Water,Pop/Rock,DSD,Restricted,train,176.6
4,4,Aimee Norwich - Child,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,189.0
5,5,Al James - Schoolboy Facination,Pop/Rock,DSD,Restricted,test,200.3
6,6,Alexander Ross - Goodbye Bolero,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,418.6
7,7,Alexander Ross - Velvet Curtain,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,514.2
8,8,AM Contra - Heart Peripheral,Pop/Rock,DSD,Restricted,test,209.9
9,9,Angela Thomas Wade - Milk Cow Blues,Country,DSD,Restricted,train,210.8
10,10,ANiMAL - Clinic A,Rap,DSD,Restricted,train,237.8
11,11,ANiMAL - Easy Tiger,Rap,DSD,Restricted,train,205.4
12,12,ANiMAL - Rockshow,Rap,DSD,Restricted,train,165.5
13,13,Arise - Run Run Run,Reggae,DSD,Restricted,test,219.1
14,14,Atlantis Bound - It Was My Fault For Waiting,Pop/Rock,DSD,Restricted,train,268.0
15,15,Auctioneer - Our Future Faces,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,207.6
16,16,AvaLuna - Waterduct,Rock,MedleyDB,CC BY-NC-SA,train,259.1
17,17,Ben Carrigan - We'll Talk About It All Tonight,Pop/Rock,DSD,Restricted,test,254.7
18,18,BigTroubles - Phantom,Rock,MedleyDB,CC BY-NC-SA,train,146.7
19,19,Bill Chudziak - Children Of No-one,Pop/Rock,DSD,Restricted,train,230.7
20,20,BKS - Bulldozer,Pop/Rock,DSD,Restricted,test,336.8
21,21,BKS - Too Much,Pop/Rock,DSD,Restricted,test,219.9
22,22,Black Bloc - If You Want Success,Pop/Rock,DSD,Restricted,train,398.5
23,23,Bobby Nobody - Stitch Up,Pop/Rock,DSD,Restricted,test,221.0
24,24,Buitraker - Revo X,Pop/Rock,DSD,Restricted,test,275.6
25,25,Carlos Gonzalez - A Place For Us,Pop/Rock,DSD,Restricted,test,250.0
26,26,Celestial Shore - Die For Us,Singer/Songwriter,MedleyDB,CC BY-NC-SA,train,278.4
